provinsi,jumlah_pengguna_qris,iptik,jumlah_penduduk (ribuan),jumlah_penduduk,jumlah_merchant_qris (ribuan),jumlah_merchant_qris,jumlah_usaha_mikro,jumlah_usaha_kecil,jumlah_umk
Jawa Barat,11800000,6.33,50345.2,50345200,7732,7732000,583357,56959,640316
DKI Jakarta,54100000,7.88,10684.9,10684900,5781,5781000,59908,11142,71050
Jawa Timur,7600000,6.07,41814.5,41814500,4204,4204000,824473,101512,925985
Jawa Tengah,7400000,5.98,37892.3,37892300,3617,3617000,834615,52944,887559
Banten,2880000,6.46,12431.4,12431400,2101,2101000,93834,5892,99726
Sumatera Utara,2490000,6.2,15588.5,15588500,1366,1366000,116906,7005,123911
Sulawesi Selatan,1225000,6.21,9463.4,9463400,1098,1098000,122892,3911,126803
Sumatera Selatan,1480000,5.97,8837.3,8837300,919,919000,73955,3723,77678
Bali,1080000,6.82,4433.3,4433300,912,912000,143770,3273,147043
DI Yogyakarta,887663,7.36,3759.5,3759500,857,857000,119560,5555,125115
Riau,1000000,6.27,6728.1,6728100,764,764000,52839,1586,54425
Lampung,1774770,5.91,9419.6,9419600,607,607000,83989,4080,88069
Kalimantan Timur,794555,6.73,4045.9,4045900,596,596000,31440,2111,33551
Kepulauan Riau,530027,6.8,2183.3,2183300,579,579000,20113,331,20444
Sumatera Barat,867061,6.27,5836.2,5836200,562,562000,85194,2859,88053
Kalimantan Selatan,700000,6.13,4273.4,4273400,453,453000,58754,2195,60949
Kalimantan Barat,716677,5.9,5695.5,5695500,392,392000,46213,596,46809
Jambi,516806,6.03,3724.3,3724300,359,359000,29576,1692,31268
Nusa Tenggara Barat,475000,5.88,5646,5646000,340,340000,103807,14854,118661
Kalimantan Tengah,350000,6.02,2809.7,2809700,316,316000,29032,628,29660
Sulawesi Utara,486000,6.03,2701.8,2701800,303,303000,47990,911,48901
Nusa Tenggara Timur,305600,5.36,5656,5656000,258,258000,144145,1148,145293
Sulawesi Tengah,257265,5.93,3121.8,3121800,219,219000,73087,9267,82354
Papua,207675,3.56,4542.6,4542600,218,218000,7370,129,7499
Bengkulu,272144,6.19,2112.2,2112200,186,186000,20744,911,21655
Aceh,641089,5.97,5554.8,5554800,179,179000,106147,2360,108507
Sulawesi Tenggara,271571,6.03,2793.1,2793100,174,174000,48432,1065,49497
Kepulauan Bangka Belitung,190000,6.06,1531.5,1531500,172,172000,17138,583,17721
Gorontalo,85090,5.85,1227.8,1227800,125,125000,29423,1482,30905
Maluku Utara,85280,5.68,1355.6,1355600,106,106000,13380,2407,15787
Papua Barat,108514,5.61,1205.8,1205800,96,96000,1827,31,1858
Kalimantan Utara,116247,6.4,739.8,739800,95,95000,5783,170,5953
Maluku,153318,5.84,1945.6,1945600,85,85000,41326,2169,43495
Sulawesi Barat,85338,5.73,1503.2,1503200,81,81000,24363,375,24738